Date,Price,Open,High,Low,Vol.,Change %
13-Mar-17,1238.50,1224.40,1246.90,1207.50,23.07K,1.09%
12-Mar-17,1225.20,1172.40,1232.60,1167.50,18.97K,4.47%
11-Mar-17,1172.80,1113.50,1196.10,1107.00,31.26K,5.32%
10-Mar-17,1113.60,1190.40,1328.80,971.00,104.89K,-6.45%
9-Mar-17,1190.40,1150.00,1207.50,1136.00,24.15K,3.58%
8-Mar-17,1149.30,1232.40,1243.60,1142.20,46.82K,-6.74%
7-Mar-17,1232.40,1279.20,1281.80,1185.90,42.01K,-3.67%
6-Mar-17,1279.30,1278.40,1287.80,1268.60,9.60K,0.07%
5-Mar-17,1278.40,1267.80,1279.80,1245.30,9.32K,0.84%
4-Mar-17,1267.80,1289.10,1291.80,1240.10,15.55K,-1.58%
3-Mar-17,1288.20,1257.60,1294.70,1256.60,22.29K,2.05%
2-Mar-17,1262.30,1232.90,1283.10,1213.00,30.55K,2.39%
1-Mar-17,1232.80,1189.10,1233.50,1186.00,22.49K,3.68%
28-Feb-17,1189.10,1196.00,1216.00,1177.80,17.47K,-0.54%
27-Feb-17,1195.50,1178.30,1202.60,1171.00,11.76K,1.46%
26-Feb-17,1178.30,1153.00,1185.90,1130.90,11.08K,2.19%
25-Feb-17,1153.00,1185.40,1189.90,1131.50,16.29K,-2.71%
24-Feb-17,1185.10,1189.90,1222.20,1111.10,48.21K,-0.49%
23-Feb-17,1190.90,1125.50,1196.90,1120.40,26.12K,5.83%
22-Feb-17,1125.30,1129.60,1140.00,1106.40,14.33K,-0.38%
21-Feb-17,1129.60,1091.30,1134.00,1085.00,24.50K,3.52%
20-Feb-17,1091.20,1056.20,1100.30,1044.10,13.29K,3.31%
19-Feb-17,1056.20,1059.80,1066.00,1045.00,6.44K,-0.34%
18-Feb-17,1059.80,1056.20,1071.10,1053.10,7.15K,0.34%
17-Feb-17,1056.20,1038.50,1065.80,1034.10,16.17K,1.71%
16-Feb-17,1038.40,1013.90,1045.70,1013.90,11.26K,2.43%
15-Feb-17,1013.80,1013.30,1017.30,1002.40,5.61K,0.01%
14-Feb-17,1013.70,996.50,1019.00,988.90,12.20K,1.73%
13-Feb-17,996.50,996.00,1004.50,975.90,9.05K,0.05%
12-Feb-17,996.00,1000.10,1005.40,992.30,4.33K,-0.43%
11-Feb-17,1000.30,992.10,1009.00,984.20,9.32K,0.84%
10-Feb-17,992.00,985.00,1002.00,949.40,24.48K,0.71%
9-Feb-17,985.00,1049.00,1078.00,936.40,59.96K,-6.09%
8-Feb-17,1048.80,1052.50,1068.00,1013.20,23.09K,-0.31%
7-Feb-17,1052.10,1022.60,1056.30,1021.70,15.19K,2.88%
6-Feb-17,1022.60,1006.60,1026.20,1006.00,8.90K,1.59%
5-Feb-17,1006.60,1031.10,1033.00,996.30,16.19K,-2.38%
4-Feb-17,1031.10,1016.80,1040.00,1001.60,17.19K,1.52%
3-Feb-17,1015.70,1007.00,1020.50,988.30,18.97K,0.99%
2-Feb-17,1005.70,983.70,1010.50,970.10,17.79K,2.23%
1-Feb-17,983.70,966.20,985.00,960.10,11.35K,1.82%
31-Jan-17,966.20,917.40,969.40,916.80,19.65K,5.32%
30-Jan-17,917.40,912.50,920.80,910.00,3.45K,0.53%
29-Jan-17,912.60,919.40,923.00,910.70,2.70K,-0.75%
28-Jan-17,919.40,916.70,924.00,915.00,3.61K,0.30%
27-Jan-17,916.70,915.10,922.20,905.00,10.14K,0.17%
26-Jan-17,915.10,893.30,917.60,893.30,9.82K,2.44%
25-Jan-17,893.30,886.10,899.60,884.20,10.48K,0.82%
24-Jan-17,886.10,908.40,927.00,884.20,20.73K,-2.63%
23-Jan-17,910.00,923.70,928.80,910.00,9.63K,-1.48%
22-Jan-17,923.70,924.00,939.70,892.00,21.84K,-0.03%
21-Jan-17,924.00,895.70,931.00,893.90,12.17K,3.13%
20-Jan-17,896.00,900.30,904.50,883.30,9.49K,-0.48%
19-Jan-17,900.30,887.60,908.20,884.60,15.08K,1.41%
18-Jan-17,887.80,904.00,913.80,847.30,21.30K,-1.80%
17-Jan-17,904.00,830.10,910.80,828.00,27.34K,8.90%
16-Jan-17,830.10,820.70,837.90,814.80,7.65K,1.14%
15-Jan-17,820.70,815.30,823.00,805.10,5.39K,0.67%
14-Jan-17,815.30,828.10,838.50,800.70,12.53K,-1.55%
13-Jan-17,828.10,804.60,832.30,776.00,25.88K,2.93%
12-Jan-17,804.60,779.50,831.20,738.70,35.91K,3.34%
11-Jan-17,778.60,905.80,922.60,760.00,62.87K,-14.04%
10-Jan-17,905.80,903.00,917.90,895.50,12.14K,0.31%
9-Jan-17,903.00,915.90,916.10,876.30,16.59K,-1.41%
8-Jan-17,915.90,908.80,942.50,890.00,30.75K,0.78%
7-Jan-17,908.80,898.50,911.00,816.10,40.60K,1.21%
6-Jan-17,898.00,1003.80,1025.00,871.00,57.40K,-10.49%
5-Jan-17,1003.20,1139.80,1166.00,865.40,91.20K,-11.97%
4-Jan-17,1139.60,1037.50,1150.00,1036.40,53.73K,9.84%
3-Jan-17,1037.50,1019.30,1038.70,1013.50,14.11K,1.79%
2-Jan-17,1019.30,999.20,1034.80,997.30,21.82K,2.03%
1-Jan-17,999.00,966.60,1006.50,961.30,13.44K,3.35%
31-Dec-16,966.60,959.20,968.00,945.00,7.16K,0.76%
30-Dec-16,959.30,974.70,974.70,929.80,19.36K,-1.37%
29-Dec-16,972.60,981.70,983.00,949.00,22.56K,-0.92%
28-Dec-16,981.70,936.40,983.00,936.40,20.82K,4.85%
27-Dec-16,936.30,906.40,940.00,903.50,9.19K,3.30%
26-Dec-16,906.40,898.00,920.00,894.20,11.83K,0.94%
25-Dec-16,898.00,895.20,901.50,858.60,12.04K,0.31%
24-Dec-16,895.20,919.00,919.80,882.80,7.39K,-2.58%
23-Dec-16,919.00,859.20,920.00,859.00,26.03K,6.96%
22-Dec-16,859.20,829.30,873.90,825.00,15.25K,3.52%
21-Dec-16,830.00,798.80,830.50,795.00,16.22K,4.01%
20-Dec-16,798.00,790.60,802.30,788.00,6.99K,0.94%
19-Dec-16,790.60,790.20,792.20,788.00,2.15K,0.05%
18-Dec-16,790.20,791.00,792.80,784.40,2.43K,-0.10%
17-Dec-16,791.00,784.20,793.00,784.20,6.20K,0.87%
16-Dec-16,784.20,777.40,785.00,775.90,4.77K,0.87%
15-Dec-16,777.40,774.50,780.10,774.50,3.18K,0.38%
14-Dec-16,774.50,775.00,781.20,771.20,3.68K,-0.07%
13-Dec-16,775.00,778.00,788.90,763.70,5.58K,-0.38%
12-Dec-16,778.00,770.20,784.10,770.20,6.76K,1.01%
